,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
58,Bell,47G,1.0,2.0,8.0,5.0,17.0,24,32.0,6.25,40.625,53.125
299,Robinson,R22 BETA,1.0,15.0,33.0,13.0,69.0,78,130.0,11.538461538461538,35.38461538461539,53.07692307692308
182,Cessna,U206F,1.0,12.0,5.0,6.0,26.0,12,49.0,24.489795918367346,22.448979591836736,53.06122448979592
255,Piper,PA-24-250,1.0,15.0,3.0,6.0,27.0,32,51.0,29.411764705882355,17.647058823529413,52.94117647058824
260,Piper,PA-28-151,1.0,3.0,6.0,0.0,10.0,13,19.0,15.789473684210526,31.57894736842105,52.63157894736842
47,Beech,G35,1.0,7.0,0.0,2.0,10.0,12,19.0,36.84210526315789,10.526315789473683,52.63157894736842
240,Piper,PA 28-180,1.0,10.0,12.0,6.0,31.0,29,59.0,16.94915254237288,30.508474576271187,52.54237288135594
32,Beech,58,2.0,39.0,7.0,1.0,52.0,45,99.0,39.39393939393939,8.080808080808081,52.52525252525253
121,Cessna,182C,1.0,2.0,7.0,1.0,11.0,13,21.0,9.523809523809524,38.095238095238095,52.38095238095239
289,Piper,PA32,1.0,30.0,18.0,14.0,68.0,51,130.0,23.076923076923077,24.615384615384617,52.307692307692314
10,Air Tractor,AT-602,1.0,6.0,5.0,0.0,12.0,22,23.0,26.08695652173913,21.73913043478261,52.17391304347826
265,Piper,PA-28R-180,1.0,5.0,4.0,3.0,13.0,14,25.0,20.0,28.000000000000004,52.0
21,Aviat,A-1B,1.0,1.0,8.0,3.0,13.0,16,25.0,4.0,44.0,52.0
225,Mooney,M20K,1.0,13.0,3.0,9.0,27.0,35,52.0,25.0,23.076923076923077,51.92307692307693
167,Cessna,P210,1.0,10.0,6.0,3.0,20.0,22,39.0,25.64102564102564,23.076923076923077,51.28205128205128
90,Cessna,150M,1.0,11.0,8.0,8.0,28.0,35,55.0,20.0,29.09090909090909,50.90909090909091
311,Sikorsky,S76,-99.0,20.0,12.0,2.0,35.0,11,69.0,28.985507246376812,20.28985507246377,50.72463768115942
165,Cessna,A188,1.0,5.0,2.0,1.0,8.0,16,16.0,31.25,18.75,50.0
236,Piper,PA 25-235,1.0,1.0,2.0,3.0,6.0,12,12.0,8.333333333333332,41.66666666666667,50.0
185,Champion,7GCAA,1.0,4.0,6.0,1.0,11.0,13,22.0,18.181818181818183,31.818181818181817,50.0
230,Piper,J3C-65,1.0,7.0,8.0,9.0,24.0,30,48.0,14.583333333333334,35.41666666666667,50.0
63,Bellanca,7GCBC,1.0,9.0,5.0,5.0,19.0,28,38.0,23.684210526315788,26.31578947368421,50.0
259,Piper,PA-28-140,1.0,25.0,35.0,20.0,80.0,84,160.0,15.625,34.375,50.0
256,Piper,PA-24-260,1.0,5.0,1.0,5.0,11.0,13,22.0,22.727272727272727,27.27272727272727,50.0
199,Diamond,DA20,1.0,3.0,5.0,3.0,11.0,11,22.0,13.636363636363635,36.36363636363637,50.0
257,Piper,PA-25-235,1.0,4.0,5.0,1.0,10.0,20,20.0,20.0,30.0,50.0
