,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc,counter_pop
155,Cessna,421B,2.0,5.0,5.0,4.0,17.0,11,31.0,16.129032258064516,29.03225806451613,54.83870967741935,2.8181818181818183
156,Cessna,421C,2.0,33.0,5.0,0.0,16.0,21,54.0,61.111111111111114,9.25925925925926,29.629629629629626,2.5714285714285716
157,Cessna,525,-99.0,5.0,6.0,1.0,26.0,12,38.0,13.157894736842104,18.421052631578945,68.42105263157895,3.1666666666666665
158,Cessna,525,2.0,14.0,0.0,0.0,30.0,13,44.0,31.818181818181817,0.0,68.18181818181817,3.3846153846153846
159,Cessna,550,2.0,2.0,13.0,0.0,34.0,13,49.0,4.081632653061225,26.53061224489796,69.38775510204081,3.769230769230769
160,Cessna,560,2.0,10.0,1.0,1.0,20.0,11,32.0,31.25,6.25,62.5,2.909090909090909
161,Cessna,560XL,2.0,7.0,0.0,0.0,55.0,14,62.0,11.29032258064516,0.0,88.70967741935483,4.428571428571429
162,Cessna,A185,-99.0,9.0,10.0,3.0,10.0,10,32.0,28.125,40.625,31.25,3.2
164,Cessna,A185F,1.0,11.0,5.0,0.0,103.0,57,119.0,9.243697478991598,4.201680672268908,86.5546218487395,2.087719298245614
172,Cessna,T206H,1.0,9.0,8.0,5.0,12.0,14,34.0,26.47058823529412,38.23529411764706,35.294117647058826,2.4285714285714284
173,Cessna,T210,-99.0,17.0,9.0,3.0,0.0,10,29.0,58.620689655172406,41.37931034482759,0.0,2.9
177,Cessna,T210N,1.0,9.0,11.0,3.0,22.0,19,45.0,20.0,31.11111111111111,48.888888888888886,2.3684210526315788
179,Cessna,TU206,1.0,8.0,2.0,6.0,19.0,11,35.0,22.857142857142858,22.857142857142858,54.285714285714285,3.1818181818181817
180,Cessna,U206,-99.0,25.0,5.0,8.0,15.0,16,53.0,47.16981132075472,24.528301886792452,28.30188679245283,3.3125
181,Cessna,U206,1.0,6.0,12.0,5.0,33.0,26,56.0,10.714285714285714,30.357142857142854,58.92857142857143,2.1538461538461537
182,Cessna,U206F,1.0,12.0,5.0,6.0,26.0,12,49.0,24.489795918367346,22.448979591836736,53.06122448979592,4.083333333333333
183,Cessna,U206G,1.0,2.0,16.0,4.0,44.0,21,66.0,3.0303030303030303,30.303030303030305,66.66666666666666,3.142857142857143
190,Cirrus,SR22,-99.0,26.0,8.0,1.0,26.0,29,61.0,42.62295081967213,14.754098360655737,42.62295081967213,2.103448275862069
192,Cirrus,SR22T,1.0,7.0,11.0,5.0,21.0,18,44.0,15.909090909090908,36.36363636363637,47.72727272727273,2.4444444444444446
194,De Havilland,DHC 2,1.0,3.0,4.0,1.0,26.0,10,34.0,8.823529411764707,14.705882352941178,76.47058823529412,3.4
195,De Havilland,DHC-2,1.0,12.0,10.0,15.0,29.0,12,66.0,18.181818181818183,37.878787878787875,43.93939393939394,5.5
200,Embraer,ERJ190,-99.0,0.0,26.0,16.0,359.0,14,401.0,0.0,10.473815461346634,89.52618453865337,28.642857142857142
203,Eurocopter,AS 350 B2,1.0,13.0,8.0,3.0,13.0,15,37.0,35.13513513513514,29.72972972972973,35.13513513513514,2.466666666666667
204,Eurocopter,AS 350 B3,1.0,3.0,3.0,0.0,24.0,13,30.0,10.0,10.0,80.0,2.3076923076923075
218,Mcdonnell Douglas,369E,1.0,2.0,3.0,6.0,18.0,13,29.0,6.896551724137931,31.03448275862069,62.06896551724138,2.230769230769231
235,Piper,PA 24-250,1.0,6.0,3.0,6.0,17.0,15,32.0,18.75,28.125,53.125,2.1333333333333333
239,Piper,PA 28-161,1.0,0.0,1.0,2.0,24.0,13,27.0,0.0,11.11111111111111,88.88888888888889,2.076923076923077
240,Piper,PA 28-180,1.0,10.0,12.0,6.0,31.0,29,59.0,16.94915254237288,30.508474576271187,52.54237288135594,2.0344827586206895
241,Piper,PA 28-181,1.0,5.0,6.0,9.0,25.0,21,45.0,11.11111111111111,33.33333333333333,55.55555555555556,2.142857142857143
242,Piper,PA 28R-200,1.0,4.0,9.0,2.0,17.0,13,32.0,12.5,34.375,53.125,2.4615384615384617
244,Piper,PA 32-300,1.0,3.0,1.0,1.0,18.0,11,23.0,13.043478260869565,8.695652173913043,78.26086956521739,2.090909090909091
245,Piper,PA 46 350P,1.0,13.0,4.0,1.0,8.0,10,26.0,50.0,19.230769230769234,30.76923076923077,2.6
246,Piper,PA 46-350P,1.0,13.0,0.0,2.0,39.0,24,54.0,24.074074074074073,3.7037037037037033,72.22222222222221,2.25
254,Piper,PA-23-250,2.0,13.0,2.0,3.0,9.0,13,27.0,48.148148148148145,18.51851851851852,33.33333333333333,2.076923076923077
264,Piper,PA-28-235,1.0,4.0,2.0,8.0,27.0,19,41.0,9.75609756097561,24.390243902439025,65.85365853658537,2.1578947368421053
267,Piper,PA-30,2.0,16.0,5.0,6.0,43.0,32,70.0,22.857142857142858,15.714285714285714,61.42857142857143,2.1875
268,Piper,PA-31-350,2.0,25.0,1.0,3.0,46.0,18,75.0,33.33333333333333,5.333333333333334,61.33333333333333,4.166666666666667
269,Piper,PA-32-260,1.0,29.0,5.0,6.0,20.0,22,60.0,48.333333333333336,18.333333333333332,33.33333333333333,2.727272727272727
270,Piper,PA-32-300,1.0,6.0,6.0,12.0,35.0,23,59.0,10.16949152542373,30.508474576271187,59.32203389830508,2.5652173913043477
271,Piper,PA-32-301,1.0,9.0,0.0,1.0,17.0,12,27.0,33.33333333333333,3.7037037037037033,62.96296296296296,2.25
272,Piper,PA-32R-300,1.0,20.0,9.0,5.0,17.0,17,51.0,39.21568627450981,27.450980392156865,33.33333333333333,3.0
273,Piper,PA-32R-301,1.0,8.0,1.0,0.0,15.0,11,24.0,33.33333333333333,4.166666666666666,62.5,2.1818181818181817
276,Piper,PA-44-180,2.0,3.0,2.0,0.0,27.0,15,32.0,9.375,6.25,84.375,2.1333333333333333
280,Piper,PA23,2.0,10.0,1.0,4.0,24.0,19,39.0,25.64102564102564,12.82051282051282,61.53846153846154,2.0526315789473686
287,Piper,PA28R,1.0,17.0,8.0,14.0,60.0,47,99.0,17.17171717171717,22.22222222222222,60.60606060606061,2.106382978723404
288,Piper,PA31,2.0,15.0,6.0,5.0,35.0,19,61.0,24.59016393442623,18.0327868852459,57.377049180327866,3.210526315789474
289,Piper,PA32,1.0,30.0,18.0,14.0,68.0,51,130.0,23.076923076923077,24.615384615384617,52.307692307692314,2.549019607843137
290,Piper,PA32R,1.0,28.0,7.0,5.0,29.0,27,69.0,40.57971014492754,17.391304347826086,42.028985507246375,2.5555555555555554
291,Piper,PA32RT,1.0,7.0,3.0,0.0,30.0,15,40.0,17.5,7.5,75.0,2.6666666666666665
293,Piper,PA34,2.0,39.0,14.0,3.0,34.0,32,90.0,43.333333333333336,18.88888888888889,37.77777777777778,2.8125
295,Piper,PA46,1.0,22.0,9.0,10.0,67.0,42,108.0,20.37037037037037,17.59259259259259,62.03703703703704,2.5714285714285716
296,Raytheon Aircraft Company,A36,1.0,10.0,9.0,3.0,17.0,14,39.0,25.64102564102564,30.76923076923077,43.58974358974359,2.7857142857142856
300,Robinson,R44,-99.0,82.0,13.0,25.0,37.0,75,157.0,52.22929936305732,24.203821656050955,23.56687898089172,2.0933333333333333
302,Robinson,R44 II,1.0,41.0,55.0,28.0,157.0,134,281.0,14.590747330960854,29.537366548042705,55.871886120996436,2.0970149253731343
306,Ryan,NAVION,1.0,5.0,3.0,7.0,12.0,11,27.0,18.51851851851852,37.03703703703704,44.44444444444444,2.4545454545454546
307,Saab,340,-99.0,21.0,1.0,0.0,87.0,10,109.0,19.26605504587156,0.9174311926605505,79.81651376146789,10.9
311,Sikorsky,S76,-99.0,20.0,12.0,2.0,35.0,11,69.0,28.985507246376812,20.28985507246377,50.72463768115942,6.2727272727272725
312,Sikorsky,S92,-99.0,7.0,0.0,1.0,64.0,12,72.0,9.722222222222223,1.3888888888888888,88.88888888888889,6.0
313,Socata,TBM 700,1.0,34.0,6.0,5.0,14.0,20,59.0,57.6271186440678,18.64406779661017,23.728813559322035,2.95
